北京市C\西城区D\富华南路1586号1层A\ O\Kiki yangR\0592-2952636T\
北京C\西城区D\沂河路与沃尔沃路交汇处南500米路西A\ O\Kiki yangR\84776739T\
北京C\西城区D\顺河镇顺昌路81号A\ O\Kiki yangR\010-80712719T\
北京市C\西城D\枣园镇小枣沟头村A\ O\Kiki yangR\15010755189T\
北京市C\西城D\林山乡詹村村65号A\ O\Kiki yangR\0311-66561020T\
北京C\西城D\沛屯大道东侧金凤凰装饰城15#22号A\ O\Kiki yangR\56036480T\
北京C\西城D\龙潭总部经济城汇润国际2号楼13楼1306号A\ O\Kiki yangR\0755-22919780T\
LinaR\0371-58508009T\ O\北京市C\朝阳区D\槐店镇吉祥东路A\
湖南P\湘潭C\湘乡市D\大环线99号101A\ O\徐乔华R\010-64828896T\
湖南省P\湘潭市C\湘乡D\润州花园21幢406A\ O\徐乔华R\0335-5892120T\
湖南P\湘潭市C\湘乡D\河盘桥七里殿2幢A\ O\徐乔华R\010-57837888-8026T\
湖南省P\湘潭C\湘乡D\环城西路169号内A\ O\徐乔华R\010-59327388T\
湖南P\湘潭C\湘乡D\宝圣大道466号A\ O\徐乔华R\010-64401938T\
李永红R\18611901218T\ O\湖南P\湘潭市C\韶山市D\荆峰路206号1幢A\
李永红R\010-85888330T\ O\湖南省P\湘潭C\韶山市D\汉中路1号1801室A\
李永红R\0755-29767696T\ O\湖南P\湘潭C\韶山市D\柳新镇柳新沿街305镇道东200米A\
李永红R\23784462T\ O\湖南省P\湘潭市C\韶山D\丰乐南路281号6幢商铺102室A\
李永红R\010-85888330T\ O\湖南P\湘潭市C\韶山D\瑞贝卡新天下A\
李永红R\010-84675656T\ O\湖南省P\湘潭C\韶山D\万家丽中路二段8号华晨世纪广场第2、3栋1205、1207房（集群注册180232）A\
李永红R\010-52725279T\ O\湖南P\湘潭C\韶山D\滨湖花园一期8号楼2单元1601室A\
湖南P\衡阳市C\珠晖区D\长征大道4号中廷森林公馆1号楼902室A\ O\张耀侠R\021-60900597T\
湖南省P\衡阳C\珠晖区D\油竹街道香榭苑17幢202室A\ O\张耀侠R\13511081288T\
湖南P\衡阳C\珠晖区D\新路河镇新路河村A\ O\张耀侠R\010-63726121T\
湖南省P\衡阳市C\珠晖D\滑集镇梁王庄村委会金庄A\ O\张耀侠R\15008635750T\
湖南P\衡阳市C\珠晖D\西芹镇坑布村（洋头）A\ O\张耀侠R\13823728353T\
湖南省P\衡阳C\珠晖D\都拉营综保路349号6楼6056-8A\ O\张耀侠R\63334580T\
湖南P\衡阳C\珠晖D\石峰北路1号8栋501房A\ O\张耀侠R\13526585771T\
聂丽丽R\025-82229999T\ O\湖南P\衡阳市C\雁峰区D\新华镇盐店村村委会A\
聂丽丽R\89996661T\ O\湖南省P\衡阳C\雁峰区D\袁寨镇魏沟中路袁寨居委会段西首路南2号A\
聂丽丽R\010—51846868T\ O\湖南P\衡阳C\雁峰区D\大商汇商贸中心71-1幢第1-3层33号商铺A\
聂丽丽R\87666875T\ O\湖南省P\衡阳市C\雁峰D\黄兴镇车马村元里屋组496号A\
聂丽丽R\010-64589662T\ O\湖南P\衡阳市C\雁峰D\协比乃尔布呼镇协比乃尔布呼村七组32号A\
聂丽丽R\010-88845858T\ O\湖南省P\衡阳C\雁峰D\全旺镇贺辂亭村丁塘垅A\
聂丽丽R\010-67312300T\ O\湖南P\衡阳C\雁峰D\级索镇时庄村198号A\
湖南P\衡阳市C\石鼓区D\瑞金路29号A\ O\徐伟R\010-59344754T\
湖南省P\衡阳C\石鼓区D\埝掌镇上冯村第四组A\ O\徐伟R\010-81776318T\
湖南P\衡阳C\石鼓区D\陈埭镇花厅口村金溪路10号A\ O\徐伟R\010-64813450T\
湖南省P\衡阳市C\石鼓D\迎春大街新天地广场6号1218A\ O\徐伟R\89448259T\
湖南P\衡阳市C\石鼓D\建华北大街389号翰轩商务5号12、13号A\ O\徐伟R\0592-2952636T\
湖南省P\衡阳C\石鼓D\昌明街343号2幢503室A\ O\徐伟R\010-63832385T\
湖南P\衡阳C\石鼓D\民族大道16号环球时代1803号A\ O\徐伟R\010-82101750T\
邹上云R\010-53389431T\ O\湖南P\衡阳市C\蒸湘区D\嵩山南路与南四环交叉口向西300米路南A\
邹上云R\0755-82964491T\ O\湖南省P\衡阳C\蒸湘区D\鹏田乡鹏田街61号乡政府大院内A\
邹上云R\010-67209880T\ O\湖南P\衡阳C\蒸湘区D\万达广场3-1223室A\
邹上云R\13701949900T\ O\湖南省P\衡阳市C\蒸湘D\阜阳现代产业园合肥大道16号高创园综合楼内A\
邹上云R\010-57208883T\ O\湖南P\衡阳市C\蒸湘D\昌黎镇二街金泽茗园A\
邹上云R\021-80318388T\ O\湖南省P\衡阳C\蒸湘D\澧源镇文昌街（华真影楼对面）A\
邹上云R\13581869069T\ O\湖南P\衡阳C\蒸湘D\凤凰街49号A\
湖南P\衡阳市C\南岳区D\飞鹅路53号新时代商业港高层公寓B单元7-16号A\ O\刘璐阳R\13832111565T\
湖南省P\衡阳C\南岳区D\王审知大道与蓼北路交叉口南100米A\ O\刘璐阳R\010-87227109T\
湖南P\衡阳C\南岳区D\文明路北侧回民新村1号楼A\ O\刘璐阳R\010-64828896T\
湖南省P\衡阳市C\南岳D\大同街123号一单元20层6号A\ O\刘璐阳R\18815284313T\
湖南P\衡阳市C\南岳D\京九大道18号A\ O\刘璐阳R\024-31883708T\
湖南省P\衡阳C\南岳D\天王山大道攀西商贸城1224-AB1-Z00006号A\ O\刘璐阳R\0755-22919780T\
湖南P\衡阳C\南岳D\万寿山路5号内1号楼513室A\ O\刘璐阳R\18833539729T\
邓进湘R\13511081288T\ O\湖南P\衡阳市C\衡阳县D\藩后街36号湘域城邦家园东栋2902房A\
邓进湘R\010-67783099T\ O\湖南省P\衡阳C\衡阳县D\圣狮村康业路4号1楼东A\
邓进湘R\6482 0369T\ O\湖南P\衡阳C\衡阳县D\新华西路1238号双银大厦2407号A\
邓进湘R\025-68586767T\ O\湖南省P\衡阳市C\衡阳D\高穴乡木牌村8社A\
邓进湘R\02866070293T\ O\湖南P\衡阳市C\衡阳D\东大街163号A\
邓进湘R\01051581043T\ O\湖南省P\衡阳C\衡阳D\新华办事处老集村任庄25号A\
邓进湘R\010-88177653T\ O\湖南P\衡阳C\衡阳D\上园路沈海住宅楼12-1号5-2-1A\
湖南P\衡阳市C\衡南县D\往流镇陈圩村A\ O\易红军R\15201696272T\
湖南省P\衡阳C\衡南县D\桃花江镇半稼洲村鹿鸣桥组A\ O\易红军R\0377－63313698T\
湖南P\衡阳C\衡南县D\凤凰东大道481号7幢2-301A\ O\易红军R\0579-86587832T\
湖南省P\衡阳市C\衡南D\四明中路688号F4-18B&F4-30A\ O\易红军R\13917642213T\
湖南P\衡阳市C\衡南D\跳马乡关刀村黄金元组637号周恺亮私宅A\ O\易红军R\01058692466T\
湖南省P\衡阳C\衡南D\锦园南路锦湖花园1栋5号A\ O\易红军R\021-37681290T\
湖南P\衡阳C\衡南D\炮车镇徐海路商贸街6号A\ O\易红军R\022-88278000T\
周友义R\010-85654257T\ O\湖南P\衡阳市C\衡山县D\黄山大道中段64号高科总部广场4号楼一楼2#场地A\
周友义R\0999-8790867T\ O\湖南省P\衡阳C\衡山县D\桥中中路213-217号101室A\
周友义R\0755-26463388T\ O\湖南P\衡阳C\衡山县D\宋官屯街道办事处晶华路与三八路交叉口东南角（德州晶华集团有限公司）2048室A\
周友义R\021-20865313T\ O\湖南省P\衡阳市C\衡山D\钟慧路58号2幢116室A\
周友义R\027-87809610T\ O\湖南P\衡阳市C\衡山D\马坡镇九段村A\
周友义R\0760-88861888T\ O\湖南省P\衡阳C\衡山D\振兴路体育局门面A\
周友义R\0755-26463388T\ O\湖南P\衡阳C\衡山D\黄河大街黄河苑4号楼2单元301号A\
湖南P\衡阳市C\衡东县D\解放大道9号御璟花苑A、A1、B栋1605室A\ O\陈荣R\13611822583T\
湖南省P\衡阳C\衡东县D\迎宾大道138号豪盛花园2幢10804室A\ O\陈荣R\01051518056T\
湖南P\衡阳C\衡东县D\大庸桥办事处热水坑居委会天门壹号4栋1805号A\ O\陈荣R\0939-8658222T\
湖南省P\衡阳市C\衡东D\宏缘乡兰家桥村5组49号A\ O\陈荣R\0531-58688888T\
湖南P\衡阳市C\衡东D\天韵怡城5号楼1405户A\ O\陈荣R\010-8558 4984T\
湖南省P\衡阳C\衡东D\凯悦世纪广场C栋806室A\ O\陈荣R\010-52321686T\
湖南P\衡阳C\衡东D\恒生望山4号楼1单元804室A\ O\陈荣R\18033685971T\
江定荣R\0595-85199999T\ O\湖南P\衡阳市C\祁东县D\珍珠巷5号碧云山庄A栋1单元4层2号A\
江定荣R\01082169107T\ O\湖南省P\衡阳C\祁东县D\钟山大道与麒麟路交汇处西北侧新世纪大厦1408室A\
江定荣R\0371-58508009T\ O\湖南P\衡阳C\祁东县D\一〇五团枣园镇团部元一路2号(一〇五团干莫公路南侧)A\
江定荣R\0532-66990688T\ O\湖南省P\衡阳市C\祁东D\红旗路47号A\
江定荣R\010-59432786T\ O\湖南P\衡阳市C\祁东D\果园路1360号A\
江定荣R\010-88177653T\ O\湖南省P\衡阳C\祁东D\佛堂镇张宅二村203号A\
江定荣R\010-53389431T\ O\湖南P\衡阳C\祁东D\星桥街道枉山村安家潭82号107室A\
湖南P\衡阳市C\衡阳综合保税区D\友好路158号8层Q号A\ O\施祖勇R\0571-57892976T\
湖南省P\衡阳C\衡阳综合保税区D\海澄镇前厝村后厝社246号A\ O\施祖勇R\59067777T\
湖南P\衡阳C\衡阳综合保税区D\九合镇钱家窑村三社1号A\ O\施祖勇R\029-89287860T\
湖南省P\衡阳市C\衡阳综合保税D\曼哈顿广场20#铺101.201.202A\ O\施祖勇R\027-87809610T\
湖南P\衡阳市C\衡阳综合保税D\汇贤路水郡蓝湾2号楼北侧第一层第二间A\ O\施祖勇R\010-85699999T\
湖南省P\衡阳C\衡阳综合保税D\朝阳西大街32号凤凰国际城7-1-1002A\ O\施祖勇R\0551-65196295T\
湖南P\衡阳C\衡阳综合保税D\袁山东路189号盛世泊水湾8栋1单元1202室A\ O\施祖勇R\010-84318380T\
王友R\17600350288T\ O\湖南P\衡阳市C\湖南衡阳高新技术产业园区D\体育西路28号2号院1幢3单元4层8号A\
王友R\0377－63313698T\ O\湖南省P\衡阳C\湖南衡阳高新技术产业园区D\龙溪街道新溉大道105号中渝.香奈公馆8幢6-办公A\
王友R\0755-86013388T\ O\湖南P\衡阳C\湖南衡阳高新技术产业园区D\榴城镇禹都大道北华仑国际文化广场18层1801号A\
王友R\84409440T\ O\湖南省P\衡阳市C\湖南衡阳高新技术产业园D\梅山大道商务中心二十一号办公楼305室A\
王友R\010-62870300T\ O\湖南P\衡阳市C\湖南衡阳高新技术产业园D\修山镇麻竹垸村楼子湾组A\
王友R\010-80729990T\ O\湖南省P\衡阳C\湖南衡阳高新技术产业园D\西湾子镇裕兴路财政局商住楼4号底商A\
王友R\18210549929T\ O\湖南P\衡阳C\湖南衡阳高新技术产业园D\永福北路东侧景亭煤矿住宅楼1#东户第9户A\
湖南P\衡阳市C\湖南衡阳松木经济开发区D\袁集镇张堂村韩寨101号A\ O\罗欢R\18910693066T\
湖南省P\衡阳C\湖南衡阳松木经济开发区D\京九办事处沙河路556号富安.森活印象B4#商住楼109室A\ O\罗欢R\13121549717T\
湖南P\衡阳C\湖南衡阳松木经济开发区D\夏铎铺镇兴旺村机械工业园A\ O\罗欢R\010-65227367T\
杨起刚R\0471-7292576T\ O\湖南P\衡阳市C\耒阳市D\九龙园大道26号15栋1-3A\
杨起刚R\010-58341810T\ O\湖南省P\衡阳C\耒阳市D\含光路南段1号怡和国际1幢504室B09室A\
杨起刚R\13810076644T\ O\湖南P\衡阳C\耒阳市D\星沙街道东一路128号A\
杨起刚R\0411-88122678T\ O\湖南省P\衡阳市C\耒阳D\琅琊镇海城路78号A\
杨起刚R\6482 0369T\ O\湖南P\衡阳市C\耒阳D\胜利北路69号17幢3单元801号A\
杨起刚R\0755-82964491T\ O\湖南省P\衡阳C\耒阳D\长官镇临艾路路西300米A\
杨起刚R\13220102299T\ O\湖南P\衡阳C\耒阳D\周棚办事处颍东路99号阜阳•临沂商城C2-1#楼105室A\
湖南P\衡阳市C\常宁市D\明山头镇三永村（原永丰村四组）A\ O\陈明新R\18210549929T\
湖南省P\衡阳C\常宁市D\人和乡天宝村6社A\ O\陈明新R\010-57138137T\
湖南P\衡阳C\常宁市D\仙桃大道与汉江路交汇处11-12号楼幢6楼113601A\ O\陈明新R\02583338889T\
湖南省P\衡阳市C\常宁D\山东路416-1号A\ O\陈明新R\0939-8658222T\
湖南P\衡阳市C\常宁D\高田镇乐响村委都根村102号A\ O\陈明新R\010-56199399T\
湖南省P\衡阳C\常宁D\东河镇永宁街24号A\ O\陈明新R\021-34698620T\
湖南P\衡阳C\常宁D\宋官屯街道办事处东风东路2555号外海江南水郡43号楼3单元2层202室A\ O\陈明新R\010-65503887T\
吕学华R\020-31068809T\ O\湖南P\邵阳市C\双清区D\旧县镇三角元村陈庄路东A\
吕学华R\021-60900597T\ O\湖南省P\邵阳C\双清区D\首羡镇青年路216号A\
吕学华R\010-56640700T\ O\湖南P\邵阳C\双清区D\泷泊镇兴隆街320号A\
吕学华R\010-88845858T\ O\湖南省P\邵阳市C\双清D\北辰路绿地香树花城56号楼1单元11502室A\
吕学华R\010- 84464009T\ O\湖南P\邵阳市C\双清D\永乐大道（老水厂对面）A\
吕学华R\010-56139621T\ O\湖南省P\邵阳C\双清D\衡龙桥镇月塘村老屋组A\
吕学华R\020-38891740T\ O\湖南P\邵阳C\双清D\鹿城镇火车站广场北侧A\
湖南P\邵阳市C\大祥区D\长江东路南、刘南岗路东12号楼1-2层104、105号A\ O\潘中亚R\027-87809610T\
湖南省P\邵阳C\大祥区D\湖田镇一寺村A\ O\潘中亚R\021-50339500T\
湖南P\邵阳C\大祥区D\百寿镇南门街A\ O\潘中亚R\57837888-8025T\
湖南省P\邵阳市C\大祥D\北园大街548号嘉汇环球广场B-429A\ O\潘中亚R\021-37681290T\
湖南P\邵阳市C\大祥D\中山四路81-1号A\ O\潘中亚R\010—51846868T\
湖南省P\邵阳C\大祥D\广川街道办事处三八中路279号德州唐人中心1号楼2单元4层401号A\ O\潘中亚R\84409440T\
湖南P\邵阳C\大祥D\山东路416-1号A\ O\潘中亚R\021-64401107T\
晏双顶R\13683625075T\ O\湖南P\邵阳市C\北塔区D\浮石街道姜家坞村266号A\
晏双顶R\89448259T\ O\湖南省P\邵阳C\北塔区D\平山银基商贸城E380-390号A\
晏双顶R\010-51660200T\ O\湖南P\邵阳C\北塔区D\文林镇嘉南大道一段86号3栋1层15号A\
晏双顶R\53657722T\ O\湖南省P\邵阳市C\北塔D\湘大路89号A\
晏双顶R\0335-5892120T\ O\湖南P\邵阳市C\北塔D\龙船镇土城村船形组A\
晏双顶R\01058075080T\ O\湖南省P\邵阳C\北塔D\大港紫竹苑5幢909室A\
晏双顶R\86057709T\ O\湖南P\邵阳C\北塔D\柏溪镇金江路（长兴花园南侧）1幢1层5号A\
湖南P\邵阳市C\新邵县D\仙月环路899号新马动力创新园2.1期研发厂房D栋6楼A\ O\文位之R\85654257T\
湖南省P\邵阳C\新邵县D\东葛路18-1号嘉和?自由空间B座1014号A\ O\文位之R\010-60590315T\
湖南P\邵阳C\新邵县D\城东街道财富大厦722号A\ O\文位之R\57837888-8025T\
湖南省P\邵阳市C\新邵D\张纪镇满意村A\ O\文位之R\0532-85655977T\
湖南P\邵阳市C\新邵D\黄兴镇长安村立新组274号A\ O\文位之R\80470246T\
湖南省P\邵阳C\新邵D\浒山街道环城南路407号四层A\ O\文位之R\82781919T\
湖南P\邵阳C\新邵D\半岗镇徐郢村南街A\ O\文位之R\87030519836T\
杨强R\010-88875888T\ O\湖南P\邵阳市C\邵阳县D\狮山镇官窑大道68号联承物业投资管理有限公司首层商铺自编号广1A09、广1A10、广1A11（住所申A\
杨强R\0532-55756067T\ O\湖南省P\邵阳C\邵阳县D\并州南路68号A\
杨强R\65725316T\ O\湖南P\邵阳C\邵阳县D\河南安巨实业有限公司A\
杨强R\010-80712719T\ O\湖南省P\邵阳市C\邵阳D\扬子江北路101号(双桥商务广场)1-410A\
杨强R\0755-22919780T\ O\湖南P\邵阳市C\邵阳D\学府街126号B座19层1901号A\
杨强R\010-88504006T\ O\湖南省P\邵阳C\邵阳D\柳沟镇南庙村村委会A\
杨强R\6482 0369T\ O\湖南P\邵阳C\邵阳D\季华六路11号二座1021房之二A\
湖南P\邵阳市C\隆回县D\高新大道777号新公共服务中心1号楼L型第二层2042号（入驻武汉善若商务秘书服务有限公司，托管号0A\ O\黄晓晖R\13526585771T\
湖南省P\邵阳C\隆回县D\东坝育才路103号成功花园30-31号A\ O\黄晓晖R\010-56308089T\
湖南P\邵阳C\隆回县D\上洞街乡麻洛村A\ O\黄晓晖R\010-8215 1148T\
湖南省P\邵阳市C\隆回D\建设西路15-1号（4-4-3）A\ O\黄晓晖R\0573-89268523T\
湖南P\邵阳市C\隆回D\澧西街道办事处关心居委会护城路226-1号A\ O\黄晓晖R\021-5633 3653T\
湖南省P\邵阳C\隆回D\新立街悦盛园6号楼4门202室A\ O\黄晓晖R\56037666T\
湖南P\邵阳C\隆回D\正阳南路东侧紫荆花园21号楼1单元003号A\ O\黄晓晖R\84409440T\
江国勇R\56037666T\ O\湖南P\邵阳市C\洞口县D\蔡子池街道办事处金星居委会西湖路5幢102号A\
江国勇R\021-80318388T\ O\湖南省P\邵阳C\洞口县D\长兴路689弄21号10幢112室托管2761(商务托管)A\
江国勇R\15701147074T\ O\湖南P\邵阳C\洞口县D\横林镇昌盛路杨岐段79号A\
江国勇R\010-59344754T\ O\湖南省P\邵阳市C\洞口D\博爱二路2号欧雅豪庭1203卡A\
江国勇R\010-59344754T\ O\湖南P\邵阳市C\洞口D\长官镇镇南居委会王庄A\
江国勇R\0898-68716117T\ O\湖南省P\邵阳C\洞口D\章安街道马峙村二居75号第三层A\
江国勇R\13810118453T\ O\湖南P\邵阳C\洞口D\朝阳西大街32号钻石花园16幢4单元302号A\
湖南P\邵阳市C\绥宁县D\东三马路152号15号楼2单元3层311号A\ O\尹艳宝R\021-63933333T\
湖南省P\邵阳C\绥宁县D\张潘镇前汪村向东50米路南A\ O\尹艳宝R\010-85761533T\
湖南P\邵阳C\绥宁县D\金湖大道一品大厦25楼A\ O\尹艳宝R\010-84161961T\
湖南省P\邵阳市C\绥宁D\芳村龙溪大道以南、西南高速公路以西杜鹃路2号自编3号场地A\ O\尹艳宝R\020-87301719T\
湖南P\邵阳市C\绥宁D\汤家桥路大自然家园5幢601室东首A\ O\尹艳宝R\010-58503026T\
湖南省P\邵阳C\绥宁D\城关镇大禹路滨河金典楼下A\ O\尹艳宝R\021-60900597T\
湖南P\邵阳C\绥宁D\姜屯镇荆河路与鲁班大道交汇处西首山东百地茂商城2#212A\ O\尹艳宝R\021-54846663T\
陈广R\010-81776318T\ O\湖南P\邵阳市C\新宁县D\盐步河东建和村139号A\
陈广R\0532-55756067T\ O\湖南省P\邵阳C\新宁县D\山阴路89号营业房A\
陈广R\0592-2952636T\ O\湖南P\邵阳C\新宁县D\大河坎镇龙岗路A\
陈广R\82781919T\ O\湖南省P\邵阳市C\新宁D\张埠口行政村A\
陈广R\025-68586767T\ O\湖南P\邵阳市C\新宁D\武潭镇资江路28号A\
陈广R\010-64013511T\ O\湖南省P\邵阳C\新宁D\金一路1号新建第二栋（椒金园7号）2单元1层1号A\
陈广R\0760-88861888T\ O\湖南P\邵阳C\新宁D\方水镇广义村八组A\
湖南P\邵阳市C\城步苗族自治县D\武陵南路9号A\ O\梁文R\83012883T\
湖南省P\邵阳C\城步苗族自治县D\延安路中段路西锦绣华府二期16幢1至3层北半部A\ O\梁文R\010-85132114T\
湖南P\邵阳C\城步苗族自治县D\育塅乡石冲村梅江组A\ O\梁文R\010-86207790T\
湖南省P\邵阳市C\城步县D\宏帆路135号36幢7-2A\ O\梁文R\01064770079T\
湖南P\邵阳市C\城步县D\咸宁大道1+8时代广场A\ O\梁文R\010-62622932T\
湖南省P\邵阳C\城步县D\羊角塘镇泉口村11组A\ O\梁文R\010-82827336T\
湖南P\邵阳C\城步县D\福禄路93号首层铺面1252号A\ O\梁文R\0939-8658222T\
孙凯R\010-52668763T\ O\湖南P\邵阳市C\武冈市D\复兴中路185号万居灯饰城2楼A\
孙凯R\010-85699999T\ O\湖南省P\邵阳C\武冈市D\韶山北路431号瑞府1445房A\
孙凯R\021-31651626T\ O\湖南P\邵阳C\武冈市D\黄各庄镇宣庄二街A\
孙凯R\027-84555200T\ O\湖南省P\邵阳市C\武冈D\大坪正街118号1幢20-19#A\
孙凯R\010-58341810T\ O\湖南P\邵阳市C\武冈D\汉城中路维多利亚商城二期4#楼1#、2#商铺A\
孙凯R\020-38655166T\ O\湖南省P\邵阳C\武冈D\同发路7号二幢二楼A厂房A\
孙凯R\010-52321686T\ O\湖南P\邵阳C\武冈D\北面滩新村984号A\
湖南P\邵阳市C\邵东市D\秋滨街道南二环西路3188号A7幢一楼A\ O\丁源R\029-89287860T\
湖南省P\邵阳C\邵东市D\大沥镇盐步联安内衣产业园A座2号梯第5楼之一（住所申报）A\ O\丁源R\82731218T\
湖南P\邵阳C\邵东市D\通达路36号城建时代广场1号楼2039A\ O\丁源R\17710761203T\
湖南省P\邵阳市C\邵东D\天生镇关门石村二组A\ O\丁源R\010-84417818T\
湖南P\邵阳市C\邵东D\凌安里4-36号A\ O\丁源R\010-87166998T\
湖南省P\邵阳C\邵东D\东坝苴国路绿茵新城715号A\ O\丁源R\027-59883599T\
湖南P\邵阳C\邵东D\湖塘镇虹北路288-A、288-B号A\ O\丁源R\010-59725618T\
方红燕R\0760-88861888T\ O\湖南P\岳阳市C\岳阳楼区D\乔庄镇梁楼村A\
方红燕R\010-64813450T\ O\湖南省P\岳阳C\岳阳楼区D\金穗大道与新中大道交叉口西北角东方明珠大厦3301室A\
方红燕R\15008635750T\ O\湖南P\岳阳C\岳阳楼区D\太湖街道丽湖中央大厦613室A\
方红燕R\84409440T\ O\湖南省P\岳阳市C\岳阳楼D\西外镇塔坨村3组村民联建房3单元2楼2号A\
方红燕R\021-50339500T\ O\湖南P\岳阳市C\岳阳楼D\伊犁州霍尔果斯口岸滨河路3号楼1楼13号A\
方红燕R\80318388T\ O\湖南省P\岳阳C\岳阳楼D\辛安渡办事处徐家台1号（15）A\
方红燕R\65088272T\ O\湖南P\岳阳C\岳阳楼D\颐和家园第15#楼1-401号房A\
湖南P\岳阳市C\云溪区D\淮河路崇学苑139商铺A\ O\张巍瀚R\010-85895942T\
湖南省P\岳阳C\云溪区D\芙蓉南路一段818号长城华都大厦13008房A\ O\张巍瀚R\15201696272T\
湖南P\岳阳C\云溪区D\金龙镇高粱村15组25号A\ O\张巍瀚R\021-64359166T\
湖南省P\岳阳市C\云溪D\凤凰大街路南沿街楼88号A\ O\张巍瀚R\18620608962T\
湖南P\岳阳市C\云溪D\城关镇舒乐东路北侧A\ O\张巍瀚R\0731-88661888T\
湖南省P\岳阳C\云溪D\人民路9号737号A\ O\张巍瀚R\010-65436406T\
湖南P\岳阳C\云溪D\黄桥镇站前西路A\ O\张巍瀚R\68033232-8007T\
何伟R\021-52720057T\ O\湖南P\岳阳市C\君山区D\五一路410号万胜综合楼门牌号348号2Y幢109室-16A\
何伟R\0557-3665757T\ O\湖南省P\岳阳C\君山区D\技创新城创新创业广场1号楼世茂大道66号100-69室A\
何伟R\18610461445T\ O\湖南P\岳阳C\君山区D\悦兴镇元宝村5组A\
何伟R\020-37591212T\ O\湖南省P\岳阳市C\君山D\产业孵化大厦二楼东南角A\
何伟R\87632836T\ O\湖南P\岳阳市C\君山D\甘南路1号黄楼商厦1012、1013A\
何伟R\17602124810T\ O\湖南省P\岳阳C\君山D\刘集乡甘罗回族村穆岗60号A\
何伟R\01058692466T\ O\湖南P\岳阳C\君山D\仙葫大道西62号A\
湖南P\岳阳市C\岳阳县D\友谊东路81号1幢1单元10602室A\ O\袁振霖R\0571-89852052T\
湖南省P\岳阳C\岳阳县D\新城北京路金茂大厦705室A\ O\袁振霖R\010-59725618T\
湖南P\岳阳C\岳阳县D\虎山街道虎山路107-2号A\ O\袁振霖R\65088272T\
湖南省P\岳阳市C\岳阳D\南二环路翠玉江南商务楼4单元408室A\ O\袁振霖R\021-64826169T\
湖南P\岳阳市C\岳阳D\滨江东路16号“金沙角”负二层31号铺A\ O\袁振霖R\65300388T\
湖南省P\岳阳C\岳阳D\亭子镇明天村15组68号A\ O\袁振霖R\021-37681290T\
湖南P\岳阳C\岳阳D\泾渭镇泾渭二路A\ O\袁振霖R\0471-7292576T\
张涛R\0573-87376637T\ O\湖南P\岳阳市C\华容县D\教育路22号金凤凰南湖御景23层A\
张涛R\01058692466T\ O\湖南省P\岳阳C\华容县D\二环路西三段181号11层19-20号A\
张涛R\01081745701T\ O\湖南P\岳阳C\华容县D\金山路东侧昌建东外滩A2幢21层2149号A\
张涛R\020-31068809T\ O\湖南省P\岳阳市C\华容D\张掖路街道静宁路349号6楼602室（保利大厦）A\
张涛R\020-87347778T\ O\湖南P\岳阳市C\华容D\利丰街1-103号A\
张涛R\021-68780259T\ O\湖南省P\岳阳C\华容D\新华东路20号亲荷苑106号A\
张涛R\18604781910T\ O\湖南P\岳阳C\华容D\洪泽湖东路19号恒通大厦6楼A\
湖南P\岳阳市C\湘阴县D\迎宾路荟丰佳苑3-4号A\ O\吴丽芳R\027-84555200T\
湖南省P\岳阳C\湘阴县D\沙河办事处范家集村商贸城2号楼东1号A\ O\吴丽芳R\020-38655166T\
湖南P\岳阳C\湘阴县D\渭南镇程村一组A\ O\吴丽芳R\010-57208883T\
湖南省P\岳阳市C\湘阴D\珠海路海珠广场A栋10层1002号A\ O\吴丽芳R\010-85654257T\
湖南P\岳阳市C\湘阴D\润阳广场6-1015A\ O\吴丽芳R\13220102299T\
湖南省P\岳阳C\湘阴D\连塘路２８号现代收获大厦２单元１３－１０A\ O\吴丽芳R\82781919T\
湖南P\岳阳C\湘阴D\聚珍园广场外围H1121415A\ O\吴丽芳R\86057709T\
王雷R\010-56380995T\ O\湖南P\岳阳市C\平江县D\城南青少年宫5楼A-505室A\
王雷R\82825072T\ O\湖南省P\岳阳C\平江县D\杨滩镇金龙村朱村冲A\
王雷R\010-64770079T\ O\湖南P\岳阳C\平江县D\店埠镇沿河东路北段旧城改造工程(星光嘉园)22幢1504室A\
王雷R\021-31651626T\ O\湖南省P\岳阳市C\平江D\发挥地方大幅度发vfdA\
王雷R\010-82628888T\ O\湖南P\岳阳市C\平江D\中华东路东邸公寓2幢1层1号商铺A\
王雷R\13646818331T\ O\湖南省P\岳阳C\平江D\山洞路24号A\
王雷R\82533170T\ O\湖南P\岳阳C\平江D\金华路291号-1、291号-2A\
湖南P\岳阳市C\岳阳市屈原管理区D\长庆大道南段A\ O\罗昭华R\0756-3615009T\
湖南省P\岳阳C\岳阳市屈原管理区D\太行山路公寓1幢602号A\ O\罗昭华R\020-29816448T\
湖南P\岳阳C\岳阳市屈原管理区D\大康镇因明村五组A\ O\罗昭华R\010-82010278T\
张茂华R\010-84318380T\ O\湖南P\岳阳市C\汨罗市D\学府路北侧、滨湖东路西侧天然气网络管理中心3号楼1-1611A\
张茂华R\0595-85199999T\ O\湖南省P\岳阳C\汨罗市D\金银潭大道以南、宏图大道以西409栋（12）A\
张茂华R\18620608962T\ O\湖南P\岳阳C\汨罗市D\黄河路101号A\
张茂华R\029-89287860T\ O\湖南省P\岳阳市C\汨罗D\花果园国际中心1号508A\
